Player,Team,Pos,Height,Weight,Born_year,Season,Time,RPM
Andre Iguodala,GSW,G,1.98,215,1984,2021,20.4,9.4
Andrew Wiggins,GSW,F,2.01,197,1995,2021,29.1,5.4
Chris Chiozza,GSW,G,1.80,175,1995,2021,8.9,0.3
Damion Lee,GSW,G,1.96,210,1992,2021,24.1,3.3
Draymond Green,GSW,F,1.98,230,1990,2021,30.5,7.7
Gary Payton II,GSW,G,1.91,195,1992,2021,11.3,9.2
Jeff Dowtin,GSW,G,1.91,177,1997,2021,2.9,-0.5
Jonathan Kuminga,GSW,C,2.01,225,2002,2021,4.7,-0.4
Jordan Poole,GSW,G,1.93,194,1999,2021,28.8,5.6
Juan Toscano-Anderson,GSW,F,1.98,209,1993,2021,13.8,1.2
Kevon Looney,GSW,C,2.06,222,1996,2021,15.5,3.3
Moses Moody,GSW,G,1.96,211,2002,2021,7.0,-0.5
Nemanja Bjelica,GSW,C,2.06,234,1988,2021,15.1,10.5
Otto Porter Jr.,GSW,F,2.03,198,1993,2021,17.2,3.8
Stephen Curry,GSW,G,1.88,185,1988,2021,33.6,12.3
Andre Iguodala,GSW,G,1.98,215,1984,2020,21.3,-1.3
Andrew Wiggins,GSW,F,2.01,197,1995,2020,33.3,0.0
Chris Chiozza,GSW,G,1.80,175,1995,2020,10.6,0.3
Damion Lee,GSW,G,1.96,210,1992,2020,18.9,0.7
Draymond Green,GSW,F,1.98,130,1990,2020,31.5,3.8
Gary Payton II,GSW,G,1.91,195,1992,2020,4.0,0.1
Jordan Poole,GSW,G,1.93,194,1999,2020,19.4,0.6
Juan Toscano-Anderson,GSW,F,1.98,209,1993,2020,20.9,1.8
Kevon Looney,GSW,C,2.06,222,1996,2020,19.0,2.1
Nemanja Bjelica,GSW,C,2.06,234,1988,2020,16.1,-1.8
Otto Porter Jr.,GSW,F,2.03,198,1993,2020,21.7,0.4
Stephen Curry,GSW,G,1.88,185,1988,2020,34.2,3.9
Andre Iguodala,GSW,G,1.98,215,1984,2019,19.9,-1.2
Andrew Wiggins,GSW,F,2.01,197,1995,2019,34.4,-3.7
Chris Chiozza,GSW,G,1.80,175,1995,2019,14.3,3.3
Damion Lee,GSW,G,1.96,210,1992,2019,29.0,-2.5
Draymond Green,GSW,F,1.98,130,1990,2019,28.4,-4.5
Gary Payton II,GSW,G,1.91,195,1992,2019,29,-4.8
Jordan Poole,GSW,G,1.93,194,1999,2019,22.3,-3.5
Juan Toscano-Anderson,GSW,F,1.98,209,1993,2019,20.9,-6.1
Kevon Looney,GSW,C,2.06,222,1996,2019,13.1,-5.0
Nemanja Bjelica,GSW,C,2.06,234,1988,2019,27.9,0.1
Otto Porter Jr.,GSW,F,2.03,198,1993,2019,23.6,1.9
Stephen Curry,GSW,G,1.88,185,1988,2019,27.9,-9.0
Anthony Davis,LAL,C,2.08,253,1993,2021,24.0,-2.5
Austin Reaves,LAL,G,1.96,197,1998,2021,21.3,1.8
Avery Bradley,LAL,G,1.91,180,1990,2021,22,-4.9
Carmelo Anthony,LAL,F,2.01,238,1984,2021,28.5,1.7
DeAndre Jordan,LAL,C,2.11,265,1988,2021,14.4,-2.7
Dwight Howard,LAL,C,2.08,265,1985,2021,14.4,0.7
Jay Huff,LAL,F,2.16,240,1997,2021,8.1,7.1
Kent Bazemore,LAL,G,1.93,195,1989,2021,25.4,-3.1
LeBron James,LAL,F,2.06,250,1984,2021,37.1,2.5
Malik Monk,LAL,G,1.91,200,1998,2021,19.8,3.8
Rajon Rondo,LAL,G,1.85,180,1986,2021,15.6,-2.3
Russell Westbrook,LAL,G,1.91,200,1988,2021,35.7,-4.2
Sekou Doumbouya,LAL,F,2.06,230,2000,2021,8.1,17.0
Wayne Ellington,LAL,G,1.93,207,1987,2021,19.1,4.0
Anthony Davis,LAL,C,2.08,253,1993,2020,32.3,3.2
Avery Bradley,LAL,G,1.91,180,1990,2020,22.3,-3.2
Carmelo Anthony,LAL,F,2.01,238,1984,2020,24.5,-0.3
DeAndre Jordan,LAL,C,2.11,265,1988,2020,21.9,-0.7
Dwight Howard,LAL,C,2.08,265,1985,2020,17.3,-1.0
Kent Bazemore,LAL,G,1.93,195,1989,2020,19.9,2.5
LeBron James,LAL,F,2.06,250,1984,2020,33.4,6.4
Malik Monk,LAL,G,1.91,200,1998,2020,20.9,0.8
Rajon Rondo,LAL,G,1.85,180,1986,2020,17.1,3.2
Russell Westbrook,LAL,G,1.91,200,1988,2020,36.4,-1.4
Sekou Doumbouya,LAL,F,2.06,230,2000,2020,15.5,-2.4
Wayne Ellington,LAL,G,1.93,207,1987,2020,22.0,-1.5
Anthony Davis,LAL,C,2.08,253,1993,2019,34.4,3.9
Avery Bradley,LAL,G,1.91,180,1990,2019,24.2,3.7
Carmelo Anthony,LAL,F,2.01,238,1984,2019,32.8,0.3
DeAndre Jordan,LAL,C,2.11,265,1988,2019,22.0,-0.7
Dwight Howard,LAL,C,2.08,265,1985,2019,18.9,2.3
Kent Bazemore,LAL,G,1.93,195,1989,2019,24.2,0.2
LeBron James,LAL,F,2.06,250,1984,2019,34.6,6.6
Malik Monk,LAL,G,1.91,200,1998,2019,21.3,-2.3
Rajon Rondo,LAL,G,1.85,180,1986,2019,20.5,0.9
Russell Westbrook,LAL,G,1.91,200,1988,2019,36.0,2.2
Sekou Doumbouya,LAL,F,2.06,230,2000,2019,19.8,-4.6
Wayne Ellington,LAL,G,1.93,207,1987,2019,15.5,-0.5
Boban Marjanovic,DAL,C,2.21,290,1988,2021,7.5,2.8
Dorian Finney-Smith,DAL,F,2.01,220,1993,2021,31.4,-4.7
Dwight Powell,DAL,F,2.08,140,1991,2021,23.9,-5.1
Eugene Omoruyi,DAL,F,1.98,235,1997,2020,5.2,0.5
Frank Ntilikina,DAL,G,1.93,200,1998,2021,14.0,1.8
JaQuori McLaughlin,DAL,G,1.93,190,1998,2020,1.7,1.0
Jalen Brunson,DAL,G,1.85,190,1996,2021,28.6,5.7
Josh Green,DAL,G,1.96,200,2000,2020,5.8,2.5
Kristaps Porzingis,DAL,F,2.21,240,1995,2021,26.3,-5.4
Luka Doncic,DAL,F,2.01,230,1999,2021,34.5,-7.6
Maxi Kleber,DAL,F,2.08,240,1992,2021,18.8,3.0
Moses Brown,DAL,C,2.18,245,1999,2021,3.1,-0.4
Reggie Bullock,DAL,G,1.98,205,1991,2021,20.3,-2.9
Sterling Brown,DAL,G,1.96,219,1995,2021,11.4,0.0
Tim Hardaway Jr.,DAL,G,1.96,205,1992,2021,31.7,-1.6
Trey Burke,DAL,G,1.83,185,1992,2021,9.6,0.2
Willie Cauley-Stein,DAL,C,2.13,240,1993,2021,10.4,1.0
Boban Marjanovic,DAL,C,2.21,290,1988,2020,8.2,0.7
Dorian Finney-Smith,DAL,F,2.01,220,1993,2020,32.0,3.3
Dwight Powell,DAL,F,2.08,140,1991,2020,16.6,1.3
Frank Ntilikina,DAL,G,1.93,200,1998,2020,9.8,-1.0
Jalen Brunson,DAL,G,1.85,190,1996,2020,25.0,2.4
Josh Green,DAL,G,1.96,200,2000,2020,11.4,0.4
Kristaps Porzingis,DAL,F,2.21,240,1995,2020,30.9,0.2
Luka Doncic,DAL,F,2.01,230,1999,2020,34.4,2.5
Maxi Kleber,DAL,F,2.08,240,1992,2020,26.8,2.7
Moses Brown,DAL,C,2.18,245,1999,2020,21.4,-8.4
Reggie Bullock,DAL,G,1.98,205,1991,2020,30.0,1.6
Sterling Brown,DAL,G,1.96,219,1995,2020,24.1,-3.0
Tim Hardaway Jr.,DAL,G,1.96,205,1992,2020,28.4,1.0
Trey Burke,DAL,G,1.83,185,1992,2020,14.7,0.3
Willie Cauley-Stein,DAL,C,2.13,240,1993,2020,17.1,2.6
Boban Marjanovic,DAL,C,2.21,290,1988,2019,9.6,1.1
Dorian Finney-Smith,DAL,F,2.01,220,1993,2019,29.9,3.9
Dwight Powell,DAL,F,2.08,140,1991,2019,26.5,4.9
Frank Ntilikina,DAL,G,1.93,200,1998,2019,20.8,-1.7
Jalen Brunson,DAL,G,1.85,190,1996,2019,17.9,3.0
Kristaps Porzingis,DAL,F,2.21,240,1995,2019,31.8,4.7
Luka Doncic,DAL,F,2.01,230,1999,2019,33.6,4.1
Maxi Kleber,DAL,F,2.08,240,1992,2019,25.5,1.4
Moses Brown,DAL,C,2.18,245,1999,2019,3.6,-3.7
Reggie Bullock,DAL,G,1.98,205,1991,2019,23.6,-2.7
Sterling Brown,DAL,G,1.96,219,1995,2019,14.7,1.3
Tim Hardaway Jr.,DAL,G,1.96,205,1992,2019,29.5,4.1
Trey Burke,DAL,G,1.83,185,1992,2019,15.8,0.8
Willie Cauley-Stein,DAL,C,2.13,240,1993,2019,20.3,-2.4